"study_id","toxicant","yi_original","vi_original","k","yi_corrected","vi_corrected","r_used","r_method","needs_correction"
"Ren, et al., 2019a","Hg","-1.227; -1.209; -4.941; -4.202","0.792; 0.7885; 2.7015; 2.1381",4,-2.8948503814723,0.945995520321846,0.5,"calculated",TRUE
"Ren, et al., 2019b","Hg","-0.817; -2.723; -6.714","0.7223; 1.2846; 4.4231",3,-3.41798348439599,1.28491741153532,0.5,"calculated",TRUE
"Zhang, et al., 2016","Hg","-0.119; -0.452; -1.148","0.6679; 0.6837; 0.7766",3,-0.573276157125844,0.472518986631253,0.5,"calculated",TRUE
"Quintaneiro, et al., 2019","PCBs","-1.672; -0.903; -0.368; -3.422; -0.141","0.8995; 0.7347; 0.678; 1.6424; 0.6683",5,-1.30117992893389,0.539543934641179,0.5,"calculated",TRUE
"Zhu, et al., 2019","Hg","-0.249; 0; -1.049","0.3359; 0.3333; 0.3792",3,-0.432923554711189,0.232840671500336,0.5,"calculated",TRUE
"Dang, et al., 2018","Hg","0.199; -0.581; -0.539","0.67; 0.6948; 0.6909",3,-0.30716332442647,0.456798719580944,0.5,"calculated",TRUE
"Tillitt, et al., 2017","PCBs","-0.592; -0.087; 0.414","0.2776; 0.2669; 0.272",3,-0.0881988922855806,0.204125219789055,0.625,"calculated",TRUE
"Chambers, et al., 2012","PCBs","-0.028; 0; -0.172; -0.267; 0.035; -0.376; -0.128; -0.231; -0.609; -0.854; -0.834; -0.762","0.6667; 0.6667; 0.6691; 0.6726; 0.6668; 0.6784; 0.668; 0.6711; 0.6976; 0.7274; 0.7246; 0.715",12,-0.352166656890069,0.37113223888285,0.5,"calculated",TRUE
"Huang, et al., 2010a","Hg","-0.129; -1.182; -1.383; -1.359; -1.654; -1.593","0.501; 0.5874; 0.6196; 0.6155; 0.6709; 0.6586",6,-1.21667190160126,0.354481738145904,0.5,"calculated",TRUE
"Huang, et al., 2010b","Hg","0.264; 0.238; 0.19; -2.023","0.6725; 0.6714; 0.6697; 1.0076",4,-0.332664834904732,0.46886110860031,0.5,"calculated",TRUE
"Xiong et al. (2022)","Hg","0.037; -0.525; -0.244; -3.847","0.6668; 0.6896; 0.6716; 1.9",4,-1.14491122571011,0.584739369389622,0.5,"calculated",TRUE
"Hung et al. (2023)","Hg","-0.386; -0.533; -1.416; -2.679","0.6791; 0.6904; 0.8338; 1.2647",4,-1.2535723208431,0.534481034866553,0.5,"calculated",TRUE
"Hu et al. 2024","PCBs","-0.068; -0.122; -0.069","0.6671; 0.6679; 0.6671",3,-0.0863858237653113,0.444893816890294,0.5,"calculated",TRUE
"Roy et al., 2022","PCBs","1.665","0.3366",1,1.66455184791621,0.33658540170004,NA,"none",FALSE
"Oger et al., 2025","Hg","-0.781; -0.776","0.4305; 0.4301",2,-0.778518430778899,0.322728648143283,0.5,"calculated",TRUE
