"study_id","toxicant","yi_original","vi_original","k","yi_corrected","vi_corrected","r_used","r_method","needs_correction"
"Yu, et al., 2019","Hg","0.109; -1.195; -0.585; -1.646; -1.715","0.5007; 0.5892; 0.5214; 0.6693; 0.6839",5,-1.00638216898194,0.354570358307463,0.5,"calculated",TRUE
"Ren, et al., 2019","Hg","0.788; 0; -0.361; -0.894","0.7184; 0.6667; 0.6775; 0.7333",4,-0.116999342881054,0.436720309280321,0.5,"calculated",TRUE
"Zhang, et al., 2016","Hg","-0.195; -0.807; -1.73","0.6698; 0.7209; 0.9161",3,-0.910503465484568,0.510865962919088,0.5,"calculated",TRUE
"Cao, et al., 2016","PCBs","-4.289; -10.12","3.2994; 13.8018",2,-7.20449090436179,5.96234952150594,0.5,"calculated",TRUE
"Socha, et al., 2012","PCBs","-0.834; -1.345; -0.371; 0.066; 0.045; -0.033","0.5434; 0.6131; 0.5086; 0.5003; 0.5001; 0.5001",6,-0.412052399999244,0.307383608828066,0.5,"calculated",TRUE
"Huang, et al., 2010","Hg","-0.286; -1.384; -2.389; -1.84; -24.103; -17.668","0.5051; 0.6198; 0.8566; 0.7116; 36.8099; 20.0091",6,-7.94498044293931,3.47436024869855,0.5,"calculated",TRUE
"Barhoumi, et al., 2016","PCBs","-1.638; 0.265; -0.161; -0.176; -0.389","0.8902; 0.6725; 0.6688; 0.6692; 0.6793",5,-0.419577155254988,0.428386336785507,0.5,"calculated",TRUE
"Fonds, et al., 1995","PCBs","-0.557","0.1798",1,-0.557401448203786,0.179825038600305,NA,"none",FALSE
"Mac, et al., 1993","PCBs","-2.339","0.947",1,-2.33873832860732,0.946969696969697,NA,"none",FALSE
"Madariaga-Mendoza et al. 2023","Hg","-1.119; -1.102; -1.462","0.771; 0.7679; 0.8447",3,-1.227669276848,0.529504633503452,0.5,"calculated",TRUE
"Bhai et al. (2024)","Hg","-2.895; -14.543; -22.26; -36.543; -94.639; -189.299","1.0238; 13.7188; 31.4691; 83.9639; 560.2779; 2240.1333",6,-60.0298200718093,154.428064952895,0.5,"calculated",TRUE
"Xiong et al. (2022)","Hg","-0.664; 0; -1.008; -1.008; -11.641","0.7034; 0.6667; 0.7514; 0.7514; 11.9588",5,-2.86419240743946,1.23425238873881,0.5,"calculated",TRUE
"Hung et al. (2023)","Hg","-0.441; -1.286; 0; -0.327","0.6828; 0.8045; 0.6667; 0.6756",4,-0.513502822437793,0.441583810377082,0.5,"calculated",TRUE
