"study_id","toxicant","yi_original","vi_original","k","yi_corrected","vi_corrected","r_used","r_method","needs_correction"
"Yu, et al., 2019","Hg","4.17; 3.874; 0.786; 0.493; 0.992","1.5866; 1.4378; 0.5386; 0.5152; 0.5616",5,2.06289476146388,0.527056900595676,0.5,"calculated",TRUE
"Ren, et al., 2019a","Hg","6.467; 4.543; 4.388","4.1516; 2.3863; 2.2708",3,5.13228963821132,1.92827748166131,0.5,"calculated",TRUE
"Ren, et al., 2019b","Hg","-0.424; 0.869; 2.525; 5.778","0.6816; 0.7297; 1.1978; 3.4483",4,2.18694731433682,0.859555067733021,0.5,"calculated",TRUE
"Quintaneiro, et al., 2019","PCBs","-0.901; 3.883; 6.937; 15.115; 27.143","0.7343; 1.9233; 4.6773; 19.7047; 62.0638",5,10.4356439566201,7.37554785552618,0.5,"calculated",TRUE
"Zhao, et al., 2017","PCBs","1.426; 5.672; 20.205; 31.418; 53.185","0.8362; 3.3475; 34.6856; 82.9256; 236.3829",5,22.3811274415124,29.0950875388726,0.5,"calculated",TRUE
"Tillitt, et al., 2017","PCBs","0.088; 0.834; 6.054; 12.335","0.2669; 0.2884; 1.412; 5.0216",4,4.8277353598943,0.948780810739729,0.625,"calculated",TRUE
"Lu, et al., 2017","Hg","1.666; 6.695; 28.738; 58.1","0.8979; 4.402; 69.4882; 281.9629",4,23.7995114837242,35.952787576245,0.5,"calculated",TRUE
"Zhang, et al., 2016","Hg","0.743; 1.056; 2.945","0.7126; 0.7595; 1.3894",3,1.58104256478964,0.624391396560317,0.5,"calculated",TRUE
"Cao, et al., 2016","PCBs","9.022","42.6991",1,9.02209234851397,42.6990751725571,NA,"none",FALSE
"Foekema, et al., 2014","PCBs","7.224; 6.73; 10.323","7.5237; 6.6619; 14.3213",3,8.0925564826136,6.1927071374455,0.5,"calculated",TRUE
"Chambers, et al., 2012","PCBs","-0.014; -0.407; -1.676; 0.549; 1.886; 2.277; -0.752; -0.805; -0.979; -0.781; -1.131; 0.077","0.6667; 0.6805; 0.9006; 0.6918; 0.9631; 1.0989; 0.7138; 0.7207; 0.7466; 0.7174; 0.7732; 0.6672",12,-0.14631270753712,0.419104711998772,0.5,"calculated",TRUE
"Socha, et al., 2012","PCBs","1.223; 1.276; 2.091; 2.189; 0.966; 0.351","0.5935; 0.6017; 0.7733; 0.7996; 0.5583; 0.5077",6,1.34928981290402,0.370505376078869,0.5,"calculated",TRUE
"Huang, et al., 2010","Hg","-0.212; 0.274; 0.427; 2.666; 6.193; 14.934","0.5028; 0.5047; 0.5114; 0.9443; 2.8972; 14.439",6,4.04705178983065,1.30420770206001,0.5,"calculated",TRUE
"Sisman, et al., 2007","PCBs","8.774","26.9933",1,8.77381049652615,26.9932502096508,NA,"none",FALSE
"Matta, et al., 1997","PCBs","-0.369; 0.882; 1.404; 1.607; 3.54; 4.534","0.678; 0.7316; 0.8309; 0.8818; 1.7107; 2.3794",6,1.9329058270591,0.665479002634257,0.5,"calculated",TRUE
"Mac, et al., 1993","PCBs","1.966","0.3575",1,1.96589474902882,0.357488280193594,NA,"none",FALSE
"Smith, et al., 1994","PCBs","-0.333; 0.165","0.1522; 0.1492",2,-0.0839738998615168,0.113020734680013,0.5,"assumed",TRUE
"Madariaga-Mendoza et al. 2023","Hg","1.119; 1.102; 1.462","0.771; 0.7679; 0.8447",3,1.22766927684801,0.529504633503452,0.5,"calculated",TRUE
"Nagamatsu_2021","Hg","3.002; 5.166; 4.996","1.4179; 2.8906; 2.7468",3,4.38816368738987,1.54121493346508,0.5,"calculated",TRUE
"Bhai et al. (2024)","Hg","0; 0; 33.066; 66.178; 162.199; 222.203","0.5; 0.5; 68.8344; 274.2241; 1644.7778; 3086.3945",6,80.6077315505557,278.507329953133,0.5,"calculated",TRUE
"Xiong et al. (2022)","Hg","40.625; 40.625; 2.298; 1.737; 812.5","138.1992; 138.1992; 1.1066; 0.9181; 55013.6875",5,179.556924547602,2458.58821038191,0.5,"calculated",TRUE
"Hung et al. (2023)","Hg","-1.156; -1.851; -1.828; 3.38","0.778; 0.9523; 0.9452; 1.6189",4,-0.363762026606304,0.660139004276034,0.5,"calculated",TRUE
"Roy et al., 2022","PCBs","-1.248","0.2987",1,-1.24809706767507,0.298679571573097,NA,"none",FALSE
"Oger et al., 2025","Hg","-0.037; 1.052","0.4001; 0.4553",2,0.507426551674387,0.320544114841937,0.5,"calculated",TRUE
