"study_id","toxicant","yi_original","vi_original","k","yi_corrected","vi_corrected","r_used","r_method","needs_correction"
"Acosta-Lizarraga, et al., 2020","Hg","-0.039","0.0175",1,-0.0391960849528262,0.0175438596491228,NA,"none",FALSE
"Harried, et al., 2020","Hg","1.081","0.0833",1,1.08142081909353,0.0833333333333333,NA,"none",FALSE
"Nowosad, et al., 2018","Hg","1.416","0.0233",1,1.41627587403432,0.0232558139534884,NA,"none",FALSE
"Jankovska, et al., 2014","Hg","0.359","0.2",1,0.359070668861058,0.2,NA,"none",FALSE
"Sackett, et al., 2013","Hg","1.53; -0.528; 1.136; 1.897","0.2; 0.2; 0.25; 0.5",4,1.00882359924214,0.173951407382932,0.5,"assumed",TRUE
"Drevnick, et al., 2006","Hg","2.043","0.0769",1,2.04317014778969,0.0769230769230769,NA,"none",FALSE
"Johnston, et al., 2001","Hg","0.735; 0.989; 0.459","0.0556; 0.0714; 0.0556",3,0.727544184302272,0.0404537106405534,0.5,"assumed",TRUE
"Mauk, et al., 2001","Hg","0.536","0.0667",1,0.536060336610567,0.0666666666666667,NA,"none",FALSE
"Brim, et al., 2001","Hg","1.157","0.125",1,1.15681746459032,0.125,NA,"none",FALSE
"Hauser-Davis, et al., 2020","Hg","0.594","0.1",1,0.594232110122688,0.1,NA,"none",FALSE
"Khadra, et al., 2019","Hg","1.114","0.0244",1,1.11385013827737,0.024390243902439,NA,"none",FALSE
"Hammerschmidt, et al., 2005","Hg","2.085","0.0278",1,2.08450332591383,0.0277777777777778,NA,"none",FALSE
"Latif, et al., 2001","Hg","0.576; -0.08","0.0909; 0.1429",2,0.248084214965802,0.0869317025564679,0.5,"assumed",TRUE
"Hammerschmidt, et al., 1999","Hg","0.221; 1.429; 1.581; 0.947; 1.815","0.25; 0.1; 1; 0.1429; 0.125",5,1.19844678283295,0.162177298722032,0.5,"assumed",TRUE
"Fonds, et al., 1995","PCBs","0.929","0.1429",1,0.928727364246725,0.142857142857143,NA,"none",FALSE
"Loizeau, et al., 1994","PCBs","1.766","1",1,1.76554012044234,1,NA,"none",FALSE
"Miller, 1993","PCBs","1.152; 2.292","0.0667; 0.0714",2,1.72239718306844,0.0517754485073684,0.5,"assumed",TRUE
"Larsson, et al., 1993","PCBs","0.678","0.0909",1,0.677666067757962,0.0909090909090909,NA,"none",FALSE
"Mac, et al., 1993","PCBs","1.649","0.25",1,1.64885331151073,0.25,NA,"none",FALSE
"Malinowski, et al., 2021","Hg","0.409","0.0385",1,0.408617676406333,0.0384615384615385,NA,"none",FALSE
