"study_id","toxicant","yi_original","vi_original","k","yi_corrected","vi_corrected","r_used","r_method","needs_correction"
" Johnston, et al., 2001","Hg","0.68; 0.924; 0.719; 1.768; 0.954; 0.654","0.0244; 0.0588; 0.027; 0.0588; 0.0625; 0.027",6,0.950026217391947,0.0242652256369933,0.5,"assumed",TRUE
"Hammerschmidt, et al., 1999","Hg","1.245","0.5",1,1.24546989517738,0.5,NA,"none",FALSE
"Harried, et al., 2020","Hg","0.924","0.0256",1,0.924482321834023,0.0256410256410256,NA,"none",FALSE
"Bodiguel, et al., 2009","PCBs","0.523","0.0238",1,0.522984277591344,0.0238095238095238,NA,"none",FALSE
"Nowosad, et al., 2018","Hg","0.586","0.0294",1,0.585944364078219,0.0294117647058824,NA,"none",FALSE
"Sackett, et.al, 2013","Hg","-0.15; 0.838; 1.162; 2.309","0.2; 0.25; 0.2; 0.5",4,1.03950090104513,0.173951407382932,0.5,"assumed",TRUE
"Fisk and Johnston, 1998","PCBs","0.453; 0.924","0.1429; 0.0588",2,0.68868151425238,0.0733376304929322,0.5,"assumed",TRUE
"Larsson, et al. 1993","PCBs","-0.313","0.0909",1,-0.313155497298376,0.0909090909090909,NA,"none",FALSE
"Kampire, et al., 2015","PCBs","0.343; 0.536","0.0222; 0.1667",2,0.43944429551298,0.0624367377084768,0.5,"assumed",TRUE
"Martins et al., 2022","Hg","-0.549","0.5",1,-0.549306144334055,0.5,NA,"none",FALSE
"Mille et al. (2021)","Hg","0.127; 0.129; -0.018","0.0417; 0.0769; 0.0303",3,0.0793157293021519,0.0321467259204962,0.5,"assumed",TRUE
