"Study","System","Site","...4","Toxi Group","Relationship","r","r^2","n","Effect size","Variance","Standard Error"
"Yu, et al., 2019",NA,NA,NA,"Hg","Hatching",NA,NA,5,-1.00638216898194,0.354570358307463,0.595458107936623
"Ren, et al., 2019",NA,NA,NA,"Hg","Hatching",NA,NA,4,-0.116999342881054,0.436720309280321,0.660848174152219
"Zhang, et al., 2016",NA,NA,NA,"Hg","Hatching",NA,NA,3,-0.910503465484568,0.510865962919088,0.714748881019822
"Cao, et al., 2016",NA,NA,NA,"PCBs","Hatching",NA,NA,2,-7.20449090436179,5.96234952150594,2.44179227648585
"Socha, et al., 2012",NA,NA,NA,"PCBs","Hatching",NA,NA,6,-0.412052399999244,0.307383608828066,0.554421869002356
"Huang, et al., 2010",NA,NA,NA,"Hg","Hatching",NA,NA,6,-7.94498044293931,3.47436024869855,1.8639635856686
"Barhoumi, et al., 2016",NA,NA,NA,"PCBs","Hatching",NA,NA,5,-0.419577155254988,0.428386336785507,0.65451228925476
"Fonds, et al., 1995",NA,NA,NA,"PCBs","Hatching",NA,NA,1,-0.557401448203786,0.179825038600305,0.424057824595072
"Mac, et al., 1993",NA,NA,NA,"PCBs","Hatching",NA,NA,1,-2.33873832860732,0.946969696969697,0.973123680201904
"Madariaga-Mendoza et al. 2023",NA,NA,NA,"Hg","Hatching",NA,NA,3,-1.227669276848,0.529504633503452,0.727670690287476
"Bhai et al. (2024)",NA,NA,NA,"Hg","Hatching",NA,NA,6,-60.0298200718093,154.428064952895,12.4269089057937
"Xiong et al. (2022)",NA,NA,NA,"Hg","Hatching",NA,NA,5,-2.86419240743946,1.23425238873881,1.11096912141554
"Hung et al. (2023)",NA,NA,NA,"Hg","Hatching",NA,NA,4,-0.513502822437793,0.441583810377082,0.664517727662011
"Yu, et al., 2019",NA,NA,NA,"Hg","Mortality",NA,NA,5,2.06289476146388,0.527056900595676,0.725986846021108
"Ren, et al., 2019a",NA,NA,NA,"Hg","Mortality",NA,NA,3,5.13228963821132,1.92827748166131,1.3886243126423
"Ren, et al., 2019b",NA,NA,NA,"Hg","Mortality",NA,NA,4,2.18694731433682,0.859555067733021,0.927121927112622
"Quintaneiro, et al., 2019",NA,NA,NA,"PCBs","Mortality",NA,NA,5,10.4356439566201,7.37554785552618,2.71579598930519
"Zhao, et al., 2017",NA,NA,NA,"PCBs","Mortality",NA,NA,5,22.3811274415124,29.0950875388726,5.39398623829099
"Tillitt, et al., 2017",NA,NA,NA,"PCBs","Mortality",NA,NA,4,4.8277353598943,0.948780810739729,0.974053802795169
"Lu, et al., 2017",NA,NA,NA,"Hg","Mortality",NA,NA,4,23.7995114837242,35.952787576245,5.99606434056915
"Zhang, et al., 2016",NA,NA,NA,"Hg","Mortality",NA,NA,3,1.58104256478964,0.624391396560317,0.790184406680059
"Cao, et al., 2016",NA,NA,NA,"PCBs","Mortality",NA,NA,1,9.02209234851397,42.6990751725571,6.53445293598149
"Foekema, et al., 2014",NA,NA,NA,"PCBs","Mortality",NA,NA,3,8.0925564826136,6.1927071374455,2.48851504665845
"Chambers, et al., 2012",NA,NA,NA,"PCBs","Mortality",NA,NA,12,-0.14631270753712,0.419104711998772,0.647382971662657
"Socha, et al., 2012",NA,NA,NA,"PCBs","Mortality",NA,NA,6,1.34928981290402,0.370505376078869,0.608691527852055
"Huang, et al., 2010",NA,NA,NA,"Hg","Mortality",NA,NA,6,4.04705178983065,1.30420770206001,1.14201913384147
"Sisman, et al., 2007",NA,NA,NA,"PCBs","Mortality",NA,NA,1,8.77381049652615,26.9932502096508,5.19550288322996
"Matta, et al., 1997",NA,NA,NA,"PCBs","Mortality",NA,NA,6,1.9329058270591,0.665479002634257,0.815768964005286
"Mac, et al., 1993",NA,NA,NA,"PCBs","Mortality",NA,NA,1,1.96589474902882,0.357488280193594,0.59790323648028
"Smith, et al., 1994",NA,NA,NA,"PCBs","Mortality",NA,NA,2,-0.0839738998615168,0.113020734680013,0.336185565841267
"Madariaga-Mendoza et al. 2023",NA,NA,NA,"Hg","Mortality",NA,NA,3,1.22766927684801,0.529504633503452,0.727670690287476
"Nagamatsu_2021",NA,NA,NA,"Hg","Mortality",NA,NA,3,4.38816368738987,1.54121493346508,1.24145677873419
"Bhai et al. (2024)",NA,NA,NA,"Hg","Mortality",NA,NA,6,80.6077315505557,278.507329953133,16.6885388801157
"Xiong et al. (2022)",NA,NA,NA,"Hg","Mortality",NA,NA,5,179.556924547602,2458.58821038191,49.5841528150064
"Hung et al. (2023)",NA,NA,NA,"Hg","Mortality",NA,NA,4,-0.363762026606304,0.660139004276034,0.812489387177478
"Roy et al., 2022",NA,NA,NA,"PCBs","Mortality",NA,NA,1,-1.24809706767507,0.298679571573097,0.546515847504075
"Oger et al., 2025",NA,NA,NA,"Hg","Mortality",NA,NA,2,0.507426551674387,0.320544114841937,0.566166154800812
"Ren, et al., 2019a",NA,NA,NA,"Hg","Growth",NA,NA,4,-2.8948503814723,0.945995520321846,0.972623010380613
"Ren, et al., 2019b",NA,NA,NA,"Hg","Growth",NA,NA,3,-3.41798348439599,1.28491741153532,1.13354197607999
"Zhang, et al., 2016",NA,NA,NA,"Hg","Growth",NA,NA,3,-0.573276157125844,0.472518986631253,0.687400164846687
"Quintaneiro, et al., 2019",NA,NA,NA,"PCBs","Growth",NA,NA,5,-1.30117992893389,0.539543934641179,0.734536544115525
"Zhu, et al., 2019",NA,NA,NA,"Hg","Growth",NA,NA,3,-0.432923554711189,0.232840671500336,0.48253566863014
"Dang, et al., 2018",NA,NA,NA,"Hg","Growth",NA,NA,3,-0.30716332442647,0.456798719580944,0.675868862710026
"Tillitt, et al., 2017",NA,NA,NA,"PCBs","Growth",NA,NA,3,-0.0881988922855806,0.204125219789055,0.451802190996298
"Chambers, et al., 2012",NA,NA,NA,"PCBs","Growth",NA,NA,12,-0.352166656890069,0.37113223888285,0.609206236739948
"Huang, et al., 2010a",NA,NA,NA,"Hg","Growth",NA,NA,6,-1.21667190160126,0.354481738145904,0.595383689855461
"Huang, et al., 2010b",NA,NA,NA,"Hg","Growth",NA,NA,4,-0.332664834904732,0.46886110860031,0.68473433432267
"Xiong et al. (2022)",NA,NA,NA,"Hg","Growth",NA,NA,4,-1.14491122571011,0.584739369389622,0.764682528497691
"Hung et al. (2023)",NA,NA,NA,"Hg","Growth",NA,NA,4,-1.2535723208431,0.534481034866553,0.731082098581652
"Hu et al. 2024",NA,NA,NA,"PCBs","Growth",NA,NA,3,-0.0863858237653113,0.444893816890294,0.667003610852516
"Roy et al., 2022",NA,NA,NA,"PCBs","Growth",NA,NA,1,1.66455184791621,0.33658540170004,0.580159807035992
"Oger et al., 2025",NA,NA,NA,"Hg","Growth",NA,NA,2,-0.778518430778899,0.322728648143283,0.568092112375522
